label,en,zh-CN,zh-TW,fa,ru,es,uk,ar
app-whitelist-blurb,Select specific apps to use with Geph,选择使用迷雾通的特定应用,選擇使用迷霧通的特定應用,برنامه‌های خاصی را برای استفاده با Geph انتخاب کنید,Выберите определенные приложения для использования с Geph,Selecciona aplicaciones específicas para usar con Geph,"Виберіть конкретні додатки для використання з Geph",اختر تطبيقات محددة لاستخدام Geph
app-whitelist-not-supported,App selection not supported on this platform,此平台不支持应用选择,此平台不支持應用選擇,انتخاب برنامه در این پلتفرم پشتیبانی نمی‌شود,Выбор приложений не поддерживается на этой платформе,Selección de aplicaciones no compatible en esta plataforma,Вибір додатків не підтримується на цій платформі,اختيار التطبيقات غير مدعوم على هذه المنصة
apple-pay,In-App Purchase,应用内购买,應用內購買,خرید درون برنامه‌ای,Встроенная покупка,Compra dentro de la aplicación,Вбудована покупка,شراء داخل التطبيق
apply-voucher,Apply now,马上使用,馬上使用,اعمال کد تخفیف,Применить ваучер,Aplicar ahora,Застосувати зараз,تطبيق الآن
attach-log-blurb,"Geph's app log will be attached to this message. Your message will be sent in an encrypted form, and your data will remain secure and private.","迷雾通的应用日志会随此消息一并发送。您的消息将以加密的方式发送，您的数据将保持安全和私密。","迷霧通的應用日誌會隨此訊息一併發送。您的訊息將以加密的方式發送，您的數據將保持安全和私密。","گزارش برنامهٔ Geph همراه این پیام ارسال خواهد شد. پیام شما به‌صورت رمزگذاری‌شده فرستاده می‌شود و داده‌هایتان امن و خصوصی می‌ماند.","Журнал приложения Geph будет прикреплен к этому сообщению. Ваше сообщение будет отправлено в зашифрованном виде, и ваши данные останутся в безопасности и конфиденциальности.","El registro de la aplicación de Geph se adjuntará a este mensaje. Tu mensaje se enviará de forma encriptada, y tus datos permanecerán seguros y privados.","Журнал додатка Geph буде прикріплений до цього повідомлення. Ваше повідомлення буде надіслано в зашифрованому вигляді, і ваші дані залишаться в безпеці та конфіденційності.",سيتم إرفاق سجل تطبيق Geph بهذه الرسالة. سترسل رسالتك بصيغة مشفرة، وستبقى بياناتك آمنة وخاصة.
auto-proxy,Auto-configure proxy,自动配置代理,自動配置代理,پیکربندی خودکار پروکسی,Автонастройка прокси,Configuración automática de proxy,Автоматична настройка проксі,تهيئة الوكيل تلقائيا
auto-proxy-blurb,Makes most browsers use Geph,配置大多数浏览器使用迷雾通,配置大多數瀏覽器使用迷霧通,بیشتر مرورگرها را مجبور میکند که از Geph استفاده کنند,Настраивает большинство браузеров использовать Geph,Hace que la mayoría de los navegadores usen Geph,"Налаштовує більшість браузерів використовувати Geph",يجعل معظم المتصفحات تستخدم Geph
auto-select,Auto-select least loaded server,自动选择负载最小的服务器,自動選擇負載最小的伺服器,انتخاب خودکار کم بارترین سرور,Автовыбор наименее загруженного сервера,Seleccionar automáticamente el servidor menos cargado,Автоматичний вибір найменш завантаженого сервера,اختيار الخادم الأقل ازدحاما تلقائيا
automatic,Automatic,自动选择,自動選擇,خودکار,Авто,Automático,Автоматичний,تلقائي
automatic-blurb,Uses best available server,使用最佳可用服务器,使用最佳可用伺服器,به بهترین سرور موجود وصل می‌شود,Использует лучший доступный сервер,Usa el mejor servidor disponible,"Використовує найкращий доступний сервер",يستخدم أفضل خادم متاح
back,Back,返回,返回,بازگشت,Назад,Atrás,Назад,رجوع
bandwidth-limit-prefix,Bandwidth limit: ,流量上限：,流量上限：,حد پهنای باند: ,Лимит трафика: ,Límite de ancho de banda: ,Ліміт пропускної здатності: ,حد النطاق الترددي:
basic-free-blurb,"Test GB GB of full Plus features—unlimited speed, premium locations, and streaming support!","体验 GB GB 完整 Plus 功能——无限速度、低延迟、流媒体服务器！","體驗 GB GB 完整 Plus 功能－無限速度、低延遲、串流服務器！","تمام امکانات Plus‌‌—سرعت نامحدود، مکان‌های ویژه و فیلتر پیشرفته—به مدت GB GB.","Полный набор функций Plus—неограниченная скорость, премиум-локации и расширенная фильтрация—в течение GB ГБ.","Prueba GB GB de funciones completas de Plus: velocidad ilimitada, ubicaciones premium y soporte de streaming!","Тестуйте GB ГБ повних функцій Plus — необмежена швидкість, преміум-локації та підтримка потокового передавання!",جرّب GB غيغابايت من مزايا Plus الكاملة—سرعة غير محدودة، مواقع مميزة، ودعم البث!
basic-plus-blurb,Only GB GB per month; recommended for occasional use only! ,每月只有 GB GB，仅推荐偶尔使用！ ,每月僅 GB GB，僅供偶爾使用。,فقط GB گیگابایت در ماه، برای استفاده موردی.,Всего GB ГБ в месяц, для редкого использования. ,Solo GB GB por mes; ¡recomendado solo para uso ocasional! ,Лише GB ГБ на місяць; рекомендується тільки для рідкісного використання!,فقط GB غيغابايت شهريا؛ موصى به للاستخدام العرضي فقط!
basic-tab,Basic,轻量,輕量,ساده,Базовый,Básico,Базовий,أساسي
basic-upgrade-blurb,This will upgrade DAYS days of your Basic plan.,这将升级当前轻量计划剩余DAYS天。,這將升級當前輕量方案剩餘DAYS天。,با ارتقا، DAYS روز از طرح پایه شما.,Это обновит DAYS дней вашего базового плана.,Esto actualizará DAYS días de tu plan Básico.,Це оновить DAYS днів вашого базового плану.,سيؤدي هذا إلى ترقية DAYS يوما من خطتك الأساسية.
best-free-server,Best free server,最佳免费服务器,最佳免費伺服器,بهترین سرور رایگان,Лучший бесплатный сервер,Mejor servidor gratuito,Найкращий безкоштовний сервер,أفضل خادم مجاني
buy-plus,Buy Plus,购买 Plus,購買 Plus,خرید پلاس,Купить Plus,Comprar Plus,Купити Plus,شراء Plus
buy-plus-price,Buy Plus (from €PRICE),购买 Plus（最低 €PRICE）,購買 Plus（最低 €PRICE）,خرید پلاس (€5/ماه),Купить Plus (€PRICE/месяц),Comprar Plus (desde €PRICE),Купити Plus (від €PRICE),شراء Plus (ابتداء من €PRICE)
calls-p2p-gaming,"🎮 Calls, P2P, and gaming","🎮 通话、P2P 和游戏","🎮 通話、P2P 和遊戲","🎮 تماس‌ها، P2P و بازی","🎮 Звонки, P2P и игры","🎮 Llamadas, P2P y juegos","🎮 Дзвінки, P2P та ігри",🎮 المكالمات وP2P والألعاب
cancel,Cancel,取消,取消,لغو,Отмена,Cancelar,Скасувати,إلغاء
cant-reconnect-now,"Can't reconnect at this time; new server will take effect on next connect","无法立即重新连接；新服务器将在下次连接时生效","無法立即重新連接；新伺服器將在下次連接時生效","در حال حاضر امکان اتصال مجدد وجود ندارد؛ سرور جدید در اتصال بعدی اعمال خواهد شد","Невозможно переподключиться сейчас; новый сервер вступит в силу при следующем подключении","No se puede reconectar en este momento; el nuevo servidor entrará en vigor en la próxima conexión","Неможливо перепідключитися зараз; новий сервер набуде чинності при наступному підключенні",لا يمكن إعادة الاتصال الآن؛ سيصبح الخادم الجديد ساريا عند الاتصال التالي
captcha,Captcha,验证码,驗證碼,اعتبارسنجی,Капча,Captcha,Captcha,كابتشا
change-location,Change location,更改位置,更改位置,تغییر مکان,Изменить расположение,Cambiar ubicación,Змінити місцезнаходження,تغيير الموقع
city,City,城市,城市,شهر,Город,Ciudad,Місто,المدينة
close,Close,关闭,關閉,بستن,Закрыть,Cerrar,Закрити,إغلاق
connect,Connect,连接,連接,اتصال,Подключить,Conectar,Підключити,اتصال
connected,Connected,已连接,已連接,متصل شد,Подключено,Conectado,Підключено,متصل
connecting,Connecting,连接中,連接中,درحال اتصال,Подключение,Conectando,Підключення,جار الاتصال
connection-status,Connection status,连接状态,連接狀態,وضعیت اتصال,Состояние подключения,Estado de conexión,Стан підключення,حالة الاتصال
content-filtering,Content filtering,内容屏蔽,內容屏蔽,فیلتر محتوا,Фильтрация контента,Filtrado de contenido,Фільтрація контенту,تصفية المحتوى
convert-account,Convert account,转换账户,轉換帳戶,تبدیل حساب,Преобразовать аккаунт,Convertir cuenta,Перетворити обліковий запис,تحويل الحساب
copy,Copy,复制,複製,کپی,Копировать,Copiar,Копіювати,نسخ
core-blurb,"Best balance of security and speed for everyday browsing.","提供日常浏览所需的最佳安全与速度。","提供日常瀏覽所需的最佳安全與速度。","بهترین توازن امنیت و سرعت برای استفاده روزمره.","Лучший баланс безопасности и скорости для ежедневного использования.","El mejor equilibrio entre seguridad y velocidad para el uso diario.","Найкращий баланс безпеки й швидкості для щоденного використання.",أفضل توازن بين الأمان والسرعة للتصفح اليومي.
core-tab,"Core","核心","核心","هسته","Основной","Núcleo","Ядро",أساسي
country,Country,国家,國家,کشور,Страна,País,Країна,الدولة
credit-card,Credit card,信用卡,信用卡,کارت اعتباری,Кредитная карта,Tarjeta de crédito,Кредитна картка,بطاقة ائتمان
crypto,Cryptocurrency,加密货币,加密貨幣,ارز دیجیتال,Криптовалюта,Criptomoneda,Криптовалюта,عملة مشفرة
dark,Dark,暗色,暗色,تیره,Тёмная тема,Oscuro,Темна тема,داكن
days,days,天,天,روز,Дни,días,дні,أيام
days-ago,days ago,天前,天前,روز پیش,дней назад,días atrás,днів тому,أيام مضت
debug,Debug,调试,除錯,عیب‌یابی,Отладка,Depuración,Налагодження,تصحيح
debug-logs,Debug logs,调试日志,調試日誌,گزارش‌های عیب‌یابی,Отладочные логи,Registros de depuración,Журнали налагодження,سجلات التصحيح
debug-pack,Debug pack,调试包,調試包,بسته عیب یابی,Отладочный пакет,Paquete de depuración,Пакет налагодження,حزمة التصحيح
debug-pack-blurb,Save debugging info for developers,保存调试信息以供开发人员使用,保存除錯資訊以供開發人員使用,ذخیره گزارش‌های عیب‌یابی برای توسعه‌دهندگان,Сохранить отладочную информацию для разработчиков,Guardar información de depuración para desarrolladores,Зберегти інформацію налагодження для розробників,حفظ معلومات التصحيح للمطورين
delete,Delete,删除,刪除,حذف,Удалить,Eliminar,Видалити,حذف
delete-account,Delete account (tap 10x quickly),刪除账户(快速点10次),刪除賬戶(快速點10次),حذف حساب کاربری (۱۰ بار سریع بزنید),Удалить аккаунт (нажать 10 раз),Eliminar cuenta (toca 10 veces rápidamente),Видалити обліковий запис (натисніть 10 разів швидко),حذف الحساب (انقر 10 مرات بسرعة)
delete-account-are-you-sure,Are you sure that you want to <b>permanently</b> delete your account?,你确定要<b>永久</b>删除你的账户吗？,你確定要<b>永久</b>刪除你的賬戶嗎？,آیا مطمئن هستید که می‌خواهی,¿Estás seguro de que quieres eliminar <b>permanentemente</b> tu cuenta?,Ви впевнені, що хочете <b>назавжди</b> видалити свій обліковий запис?,هل أنت متأكد من أنك تريد حذف حسابك <b>نهائيا</b>؟
delete-account-blurb,Permanently delete account,永久删除账户,永久刪除賬戶,حذف دائمی حساب کاربری,Безвозвратно удалить аккаунт,Eliminar cuenta permanentemente,Назавжди видалити обліковий запис,حذف الحساب نهائيا
direct,Direct,直连,直连,مستقیم,Прямой,Directo,Прямий,مباشر
disconnect,Disconnect,断开,斷開,قطع اتصال,Отключить,Desconectar,Відключити,قطع الاتصال
disconnected,Disconnected,已断开,已斷開,متصل نیست,Отключено,Desconectado,Відключено,غير متصل
dont-have-account-secret,"Don't have an account secret?","没有账户密钥？","沒有帳戶密鑰？","رمز حساب کاربری ندارید؟","Нет секретного ключа аккаунта?","¿No tienes un secreto de cuenta?","Немає секретного ключа облікового запису?",ليس لديك سر حساب؟
download,Download,下载,下載,دانلود,Скачать,Descargar,Завантажити,تنزيل
duplicate-credentials,This username is already taken. Please choose another name,此用户名已存在。请选一个新的用户名,此用戶名已存在。 請選一個新的用戶名,این نام کاربری برداشته شده است. لطفا نام دیگری انتخاب کنید,Это имя пользователя уже занято. Пожалуйста, выберите другое имя.,Este nombre de usuario ya está tomado. Por favor, elige otro nombre.,Це ім'я користувача вже зайняте. Будь ласка, оберіть інше ім'я.,اسم المستخدم هذا مستخدم بالفعل. يرجى اختيار اسم آخر
enter-account-secret,Enter your account secret,输入您的账户密钥,輸入您的帳戶密鑰,رمز حساب کاربری خود را وارد کنید,Введите секретный ключ вашего аккаунта,Ingresa tu secreto de cuenta,Введіть секретний ключ вашого облікового запису,أدخل سر حسابك
enter-old-username-password-blurb,"Enter the username and password you use with previous versions to obtain your account secret.","请输入您在旧版本中使用的用户名和密码，以获取您的账户密钥。","請輸入您在舊版本中使用的用戶名和密碼，以獲取您的 帳戶密鑰。","نام کاربری و رمز عبوری را که در نسخه‌های قبلی استفاده می‌کردید وارد کنید تا رمز حساب کاربری خود را دریافت کنید.","Введите имя пользователя и пароль, которые вы использовали в предыдущих версиях, чтобы получить ваш секретный ключ аккаунта.","Ingresa el nombre de usuario y contraseña que usas con versiones anteriores para obtener tu secreto de cuenta.","Введіть ім'я користувача та пароль, які ви використовували в попередніх версіях, щоб отримати секретний ключ вашого облікового запису.",أدخل اسم المستخدم وكلمة المرور اللذين استخدمتهما مع الإصدارات السابقة للحصول على سر حسابك.
enter-promo-code,Enter promo code,输入优惠码,輸入優惠碼,کد تبلیغاتی را وارد کنید,Введите промокод,Ingresa código promocional,Введіть промокод,أدخل رمز العرض
enter-voucher-code,Enter voucher code,输入礼品卡代码,輸入礼品卡代碼,کد تخفیف را وارد کنید,Введите код ваучера,Ingresa el código de cupón,Введіть код ваучера,أدخل رمز القسيمة
err_create_invoice,"Cannot create invoice","无法创建订单","無法創建訂單","خطا در ایجاد فاکتور","Не удается создать счет","No se puede crear la factura","Не вдається створити рахунок",تعذر إنشاء الفاتورة
err_load_price_points,"Cannot load price points","无法加载价格信息","無法加載價格資訊","خطا در بارگیری نقاط قیمت","Не удается загрузить ценовые точки","No se pueden cargar los puntos de precio","Не вдається завантажити цінові точки",تعذر تحميل نقاط السعر
error,Error,错误,錯誤,خطا,Ошибка,Error,Помилка,خطأ
error,Error,错误,錯誤,خطا,Ошибка,Error,Помилка,خطأ
exclude-apps,Exclude apps,排除应用,排除應用,برنامه های صرف‌نظر شده,Исключить приложения,Excluir aplicaciones,Виключити додатки,استثناء التطبيقات
exclude-apps-blurb,Let apps bypass Geph,允许应用程序绕过迷雾通,允許應用程式繞過迷霧通,این برنامه ها از Geph استفاده نکنند,Позволить приложениям обходить Geph,Permitir que las aplicaciones eviten Geph,"Дозволити додаткам обходити Geph",اسمح للتطبيقات بتجاوز Geph
exclude-prc,Exclude PRC traffic,排除中国大陆流量,排除中國大陸流量,صرف‌نظر از ترافیک RPC,Исключить трафик КНР,Excluir tráfico de PRC,Виключити трафік КНР,استثناء حركة مرور الصين
exclude-prc-blurb,Let Chinese traffic bypass Geph,允许中国大陆流量绕过迷雾通,允許中國大陸流量繞過迷霧通,ترافیک چین از Geph عبور نکند,Позволить китайскому трафику обходить Geph,Permitir que el tráfico chino evite Geph,"Дозволити китайському трафіку обходити Geph",اسمح لحركة المرور الصينية بتجاوز Geph
excluded-apps,"Excluded apps:","排除的应用：","排除的應用：","برنامه‌های مستثنی:","Исключенные приложения:","Aplicaciones excluidas:","Виключені додатки:",التطبيقات المستثناة:
exit-selection,Select exit server,选择出口服务器,選擇出口伺服器,سرور خروجی را انتخاب کنید,Выбрать выходной сервер,Seleccionar servidor de salida,Вибрати сервер виходу,اختيار خادم الخروج
export,Export,导出,導出,صدور,Экспорт,Exportar,Експорт,تصدير
extend,Extend,延长,延長,تمدید,Продлить,Extender,Продовжити,تمديد
features,"Features","功能","功能","ویژگی‌ها","Функции","Características","Функції",الميزات
force-bridges,Bridges,强制桥接,強制橋接,پل ها,Мосты,Puentes,Мости,الجسور
forum,Forum,用户论坛,用戶論壇,انجمن,Форум,Foro,Форум,المنتدى
free-account,Free,免费,免費,حساب رایگان,Бесплатный аккаунт,Gratis,Безкоштовний,مجاني
free-is-bad,Free accounts are limited to 3G network speeds,免费账号限速为3G网络速度，只允许基本网页浏览,免費帳號限速為3G網絡速度，只允許基本網頁瀏覽,سرعت حساب‌های رایگان به سرعت شبکه 3G محدود است.,Бесплатные аккаунты ограничены скоростью сети 3G.,Las cuentas gratuitas están limitadas a velocidades de red 3G.,Безкоштовні облікові записи обмежені швидкістю мережі 3G.,الحسابات المجانية محدودة بسرعات شبكة 3G
free-plus,"Free Plus!","免费领取 Plus!","免費領取 Plus!","پلاس رایگان!","Бесплатный Plus!","¡Plus gratis!","Безкоштовний Plus!",Plus مجاني!
free-server,Free,所有用户,所有用戶,رایگان,Бесплатно,Gratis,Безкоштовно,مجاني
gambling,Gambling,赌博,賭博,قمار,Азартные игры,Juegos de azar,Азартні ігри,المقامرة
gb-per-month,GB/month,GB/月,GB/月,GB/ماه,GB/мес,GB/mes,ГБ/міс,غيغابايت/شهر
general,General,常规,常規,عمومی,Общие,General,Загальні,عام
geph,Geph,迷雾通,迷霧通,Geph,Geph,Geph,Geph,Geph
get-full-geph-experience,"Get the full Geph experience","享受完整的迷雾通服务","享受完整的迷霧通服務","تجربه کامل Geph را دریافت کنید","Получите полный опыт использования Geph","Obtén la experiencia completa de Geph","Отримайте повний досвід використання Geph",احصل على تجربة Geph الكاملة
get-unlimited-speed,Get unlimited speed,获取无限速度,獲取無限速度,سرعت نامحدود را تجربه کن,Получите неограниченную скорость,Obtén velocidad ilimitada,Отримайте необмежену швидкість,احصل على سرعة غير محدودة
github,GitHub,GitHub,GitHub,گیت‌هاب,GitHub,GitHub,GitHub,GitHub
global-vpn,Network-level VPN,全局VPN,全局VPN,فیلترشکن در سطح شبکه,VPN на уровне сети,VPN a nivel de red,VPN на рівні мережі,VPN على مستوى الشبكة
global-vpn-blurb,Force all traffic to use Geph,强制所有流量使用迷雾通,強制所有流量使用迷霧通,همه ترافیک ها را مجبور به استفاده از Geph می کند,Заставить весь трафик использовать Geph,Forzar todo el tráfico a usar Geph,"Змусити весь трафік використовувати Geph",فرض استخدام Geph لكل حركة المرور
group,Group,用户群,用戶群,گروه کاربران,Группа пользователей,Grupo,Група,المجموعة
i-have-old-username-password,"I have a username/password","旧版用户名/密码","舊版用戶名/密碼","من یک نام کاربری/رمز عبور قدیمی دارم","У меня есть имя пользователя/пароль","Tengo un nombre de usuario/contraseña","У мене є ім'я користувача/пароль",لدي اسم مستخدم/كلمة مرور
important,Important,重要,重要,مهم,Важно,Importante,Важливо,مهم
incorrect-user-secret,"Incorrect user secret","错误的账户密钥","錯誤的帳戶密鑰","رمز حساب کاربری اشتباه است","Неверный секретный ключ аккаунта","Secreto de usuario incorrecto","Неправильний секретний ключ облікового запису",سر الحساب غير صحيح
invalid-username-or-password,Wrong username or password,用户名或密码错误,用戶名或密碼錯誤,نام کاربری یا کلمه عبور نادرست است,Неправильное имя пользователя или пароль,Nombre de usuario o contraseña incorrectos,Неправильне ім'я користувача або пароль,اسم المستخدم أو كلمة المرور غير صحيحة
invite-code,Invite code,邀请码,邀請碼,کد دعوت,Код приглашения,Código de invitación,Код запрошення,رمز الدعوة
keep-window-open,"Please keep this window open!","请保持此窗口打开！","請保持此窗口打開！","لطفاً این پنجره را باز نگه دارید!","Пожалуйста, держите это окно открытым!","¡Por favor, mantén esta ventana abierta!","Будь ласка, тримайте це вікно відкритим!",يرجى إبقاء هذه النافذة مفتوحة!
language,Language,语言,語言,زبان,Язык,Idioma,Мова,اللغة
latency,Latency,延迟,延遲,تاخیر,Задержка,Latencia,Затримка,زمن الاستجابة
light,Light,亮色,亮色,روشن,Светлая тема,Claro,Світла тема,فاتح
allow-direct,Allow direct connections,允许直接连接服务器,允許直接連接伺服器,اجازهٔ اتصال مستقیم,Разрешить прямые подключения,Permitir conexiones directas,Дозволити прямі підключення,السماح بالاتصالات المباشرة
allow-direct-blurb,"Faster, but easier to block",速度更快，但更容易被封锁,速度更快，但更容易被封鎖,سریع‌تر است، اما راحت‌تر مسدود می‌شود,"Быстрее, но легче блокируется","Más rápido, pero más fácil de bloquear","Швидше, але легше блокується",أسرع، ولكن أسهل في الحجب
listen-all,Listen on all interfaces,监听所有地址,監聽所有地址,گوش‌دادن به همه رابط ها,Прослушивать все интерфейсы,Escuchar en todas las interfaces,Прослуховувати всі інтерфейси,الاستماع على كل الواجهات
listen-all-blurb,Lets other devices on your network use this device as a proxy server,让同一网络中的其他设备把本机用作代理服务器,讓同一網路中的其他裝置把本機用作代理伺服器,به دستگاه‌های دیگر در شبکهٔ شما اجازه می‌دهد از این دستگاه به عنوان سرور پروکسی استفاده کنند,Позволяет другим устройствам в вашей сети использовать это устройство как прокси-сервер,Permite que otros dispositivos de tu red usen este dispositivo como servidor proxy,Дозволяє іншим пристроям у вашій мережі використовувати цей пристрій як проксі-сервер,يسمح للأجهزة الأخرى على شبكتك باستخدام هذا الجهاز كخادم وكيل
listening-ports,Listening ports,监听端口,監聽端口,پورت های فراخوانی شده,Порты прослушивания,Puertos de escucha,Порти прослуховування,المنافذ المستمعة
loading,Loading,载入中,載入中,درحال بارگذاری,Загрузка,Cargando,Завантаження,جار التحميل
loading-apps,"Loading apps...","正在加载应用...","正在加載應用...","در حال بارگیری برنامه‌ها...","Загрузка приложений...","Cargando aplicaciones...","Завантаження додатків...",جار تحميل التطبيقات...
loading-apps,Loading app list...,加载应用列表...,加載應用列表...,بارگیری فهرست برنامه‌ها...,Загрузка списка приложений...,Cargando lista de aplicaciones...,Завантаження списку додатків...,جار تحميل التطبيقات...
loading-server-list,Loading server list,正在加载服务器列表,正在加載伺服器列表,بارگذاری لیست سرور,Загрузка списка серверов,Cargando lista de servidores,Завантаження списку серверів,جار تحميل قائمة الخوادم
log-in-blurb,Log in with existing account,使用已有帐号登录,使用已有帳號登錄,ورود به حساب کاربری موجود,Войти в существующий аккаунт,Iniciar sesión con cuenta existente,Увійти в існуючий обліковий запис,تسجيل الدخول بحساب موجود
logging-in,Logging in,登录中,登錄中,ورود به حساب,Вход,Iniciando sesión,Вхід,جار تسجيل الدخول
logging-out,Logging out,登出中,登出中,خروج از حساب,Выход,Saliendo,Вихід,جار تسجيل الخروج
login,Log in,登录,登錄,ورود,Войти,Iniciar sesión,Увійти,تسجيل الدخول
login-server-overloaded,The login server is currently overloaded. Please try again later.,登录服务器当前超负载。请稍后重试。,登錄服務器當前超負荷。請稍後重試。,سرور ورود در حال حاضر فشارزا است. لطفا بعدا دوباره امتحان کنید.,Сервер входа в систему в настоящее время перегружен. Пожалуйста, попробуйте позже.,El servidor de inicio de sesión está sobrecargado actualmente. Por favor, inténtalo de nuevo más tarde.,Сервер входу наразі перевантажений. Будь ласка, спробуйте пізніше.,خادم تسجيل الدخول مزدحم حاليا. يرجى المحاولة لاحقا.
logout,Log out,退出,退出,خروج,Выйти,Cerrar sesión,Вийти,تسجيل الخروج
logs-copied,Debug logs copied,调试日志已复制,調試日誌已複製,گزارش‌های عیب‌یابی کپی شد,Отладочные логи скопированы,Registros de depuración copiados,Журнали налагодження скопійовані,تم نسخ سجلات التصحيح
manage,Manage,管理,管理,مدیریت,Управление,Gestionar,Керувати,إدارة
manage-account,Manage account,管理账户,管理帳戶,مدیریت حساب کاربری,Управление аккаунтом,Gestionar cuenta,Керувати обліковим записом,إدارة الحساب
mb-per-month,MB/month,MB/月,MB/月,MB/ماه,МБ/мес,MB/mes,МБ/міс,ميغابايت/شهر
migrate-from-older-versions,"Migrate from older versions","从旧版本迁移","從舊版本遷移","مهاجرت از نسخه‌های قدیمی","Миграция со старых версий","Migrar desde versiones anteriores","Міграція зі старих версій",الانتقال من الإصدارات القديمة
much-faster-speed,"🚀 Much faster speed","🚀 超快的速度","🚀 超快的速度","🚀 سرعت بسیار بالاتر","🚀 Намного быстрее","🚀 Mucha más velocidad","🚀 Значно швидше",🚀 سرعة أعلى بكثير
local-network,Local network,局域网,區域網路,شبکه محلی,Локальная сеть,Red local,Локальна мережа,الشبكة المحلية
connection,Connection,连接,連線,اتصال,Подключение,Conexión,З'єднання,الاتصال
news,News,通知频道,通知頻道,اخبار,Новости,Noticias,Новини,الأخبار
no-apps-found,"No apps found","未找到应用","未找到應用","هیچ برنامه‌ای یافت نشد","Приложения не найдены","No se encontraron aplicaciones","Додатки не знайдені",لم يتم العثور على تطبيقات
no-apps-found,No apps found,未找到应用,未找到應用,هیچ برنامه‌ای یافت نشد,Приложения не найдены,No se encontraron aplicaciones,Додатки не знайдені,لم يتم العثور على تطبيقات
